Scientific Name,Type Specimen,Synonyms,Repository,Other Notes,Questionable ID
Chama echinata,,Chama squamuligera,,Coan and Valentich-Scott [2012] consider C. squamuligera to be a white morph of C. echinata,FALSE
Chaetopleura aff. lurida,,,,"the “small, hairy chiton” of the Narrative; C. lurida ranges from the Central Gulf to Colombia",FALSE
Stenoplax limaciformis,,Ischnochiton limaciformis in Phyletic Catalogue,,,FALSE
Conus brunneus,,,,,FALSE
*Conus nux,,,USNM,,FALSE
*Conus princeps,,,USNM,,FALSE
*Nodilittorina modesta,,,USNM,gastropod,FALSE
Crassispira (Monilispira) monilifera,,Monilispira monilifera,,,FALSE
Mitra tirstis,,,,,FALSE
Mitrella guttata,,"Nitidella guttata, a junior synonym",,"this species, one of the most common small snails in the Gulf, is considered a synonym of Mitrella/Columbella ocellata by some workers, but the latter is a trans-Atlantic species",FALSE
Coralliophila costata,,,,,FALSE
?Quoyula madreporarum,,"Galeropsis madreporarum, a junior synonym",,S&R were uncertain of this identification of the Puerto Lobos specimens,TRUE
Hexaplex princeps,,"Phyllonotus princeps, a junior synonym",,,FALSE
Vasula speciosa,,"Thais centiquadrata, a junior synonym",,"this species has had a tortuous nomenclatural history—other synonyms include Thais speciosa, Purpura speciosa, Purpura centriquadra, Manciella speciosa, and Purpura triserialis",FALSE
Acanthais triangularis,,"Thais triangularis, a junior synonym",,also Mancinella triangularis,FALSE
Naria albuginnosa,,Cypraea albuginosa,,,FALSE
Pseudozonaria annettae,,"Cypraea annettae, = Zonaria annettae, = C. sowerbyi, = C. ferruginosa",,,FALSE
*Liocerithium judithae,,"Cerithium sculptum, a junior synonym",USNM,the “mid-tide minute spired snail” of the Narrative; one of the most common small snails in the Gulf,FALSE
Echinolittorina modesta,,"Littornia conspersa, a junior synonym",,,FALSE
Crucibulum scutellatum,,"Crucibulum imbricatum, a junior synonym",,,FALSE
Diodora inaequalis,,,,misspelled as “inequalis” in Phyletic Catalogue,FALSE
Aclesia rickettsi,,“Notarchus (Aclesia) sp.” in Phyletic Catalogue,,apparently this sea slug has not been reported since MacFarland’s original description in 1966,FALSE
Pleurobranchus digueti,,,,the “red tectibranch” of the Narrative,FALSE
** Berthellina ilisima,,Berthellina engeli,CAS,the apricot slug,FALSE
** Stylocheilus striatus,,Stylocheilus longicauda,CAS,,FALSE
** Elysia diomedea,,Tridachiella diomedea,CAS,"the famous Gulf “Mexican/Spanish dancer” nudibranch; S&R note it was “possibly the most common nudibranch” they encountered; it is still very common, except where tide-pool tourists have taken them in excess",FALSE
**Doris umbrella,,,CAS,,FALSE
*Aclesia rickettsi,lectotype,,USNM,aplysiid sea slug,FALSE
Pleurobranchidae,,,,unidentified slug,FALSE
“Small white Cadlina-like dorid”,,,,,FALSE
“Large seal-brown nudibranch”,,,,,FALSE
Balanoglossus sp.,,,,acorn worm,FALSE
Ptychodera flava,,,,acorn worm,FALSE
**Aplidium californicum,,Amaroucium californicum,CAS,a wide-ranging east Pacific compound tunicate; the tunicates of the Gulf of California have not yet been carefully studied,FALSE
Eudistoma sp.,,,,"S&R speculated that this might be an undescribed species; two Eudistoma species are currently known from the Gulf, E. mexicanum and E. psammion",FALSE
Pyura sp.,,,,"the “red sea squirt” of the Narrative; likely P. lignosa, a common simple tunicate ranging from the Central Gulf to at least Costa Rica",FALSE
