Scientific Name,Type Specimen,Synonyms,Repository,Other Notes,Questionable ID
Nidorellia armata,,,,"a very common shallow-water sea star in the Gulf, but collected by S&R only at Pulmo Reef and Puerto Escondido",FALSE
Mithrodia bradleyi,,,,,FALSE
Pentaceraster cumingi,,"Oreaster occidentalis, a junior synonym",,a widespread Tropical East Pacific species,FALSE
Ophiothrix spiculata,,,,,FALSE
Ophiothrix rudis,,,,an uncommon brittle star ranging from the Southern Gulf to southern Mexico; most often reported from corals but both species of Ophiothrix in the Gulf live commensally with other organisms,FALSE
Ophiactis simplex,,,,"the small, 5- or 6-armed brittle star",FALSE
Ophiocoma alexandri,,,,,FALSE
Eucidaris thouarsii,,,,the commonest sea urchin in the Gulf; collected “at practically every suitable collecting place”,FALSE
Echinometra vanbrunti,,,,,FALSE
Arbacia incisa,,,,"these are the urchins S&R noted at Pulmo Reef, “penetrated all but the heaviest part of the soles of our rubber boots”",FALSE
Afrocucumis ovulum,,Euthyonidiuim ovulum,,"an uncommon species known only from the Central and Southern Gulf, south to Peru; taken only at this location",FALSE
Megabalanus peninsularis,,Balanus tintinabulum peninsularis,,,FALSE
Alpheus wonkimi,,Crangon [= Alpheus] malleator,,a snapping shrimp,FALSE
Alpheus lottini,,Crangon ventrosus,,a tropical trans-Pacific snapping shrimp,FALSE
Trapezia spp.,,,,red coral crabs,FALSE
Mithrax denticulatus,,M. areolatus,,spider crab,FALSE
Exosphaeroma yucatanum,,,,almost certainly a misidentification of some other sphaeromatid isopod; E. yucatanum is a west Atlantic species,TRUE
Tetraclita stalactifera,,Tetraclita squamosa stalactifera,,,FALSE
Alpheus lottini,,,,,FALSE
Synalpheus sanlucasi,,,,,FALSE
Synalpheus sanjosei,,,,,FALSE
Synalpheus digueti,,,,,FALSE
Synalpheus sp.,,,,,FALSE
Calcinus californiensis,,,,one of the most attractive hermit crabs in the Gulf,FALSE
Pachycheles biocellatus,,Petrolisthes biocellatus,,formerly Petrolisthes biocellatus; living in coral interstices,FALSE
Pachycheles panamensis,,Pachycheles sonorensis,,formerly Pachycheles sonorensis,FALSE
Pachycheles setimanus,,Petrolisthes setimanus,,formerly Petrolisthes setimanus; living in coral interstices,FALSE
Pachycheles sp.,,,,6 species of Pachycheles are known from the Gulf today,FALSE
Petrolisthes hians,,"Pisosoma flagraciliata, a junior synonym",,,FALSE
Thoe sulcata,,,,,FALSE
Mithraculus denticulatus,,"Mithrax areolatus, a junior synonym",,common,FALSE
Platypodiella rotundata,,Platypodia rotundata,,,FALSE
Daira americana,,,,,FALSE
Pilumnus pygmaeus,,,,an uncommon hairy crab of the Southern Gulf,FALSE
Eriphia squamata,,,,"“old lumpy claws”; a very common, small, pugnacious xanthid crab ranging from the Upper Gulf to Peru",FALSE
Domecia hispida,,Eriphides hispida,,a junior synonym of this circumtropical coral-inhabiting crab,FALSE
Trapezia bidentata,,"Trapezia cymodoce ferruginea, a junior synonym",,the “cherry-colored coral crab” in the Narrative,FALSE
Trapezia digitalis,,,,common among the coral heads,FALSE
Trapezia sp.,,,,perhaps T. digitalis,FALSE
Grapsus grapsus,,,,Sally Lightfoot crab; taken at all rocky shore stations,FALSE
Pachygrapsus socius,,Pachygrapsus transversus,,an Atlantic species,FALSE
Isognomon janus,,"I. anomioides, a junior synonym",,"very common, thin rock oyster on rocky shores in the Gulf",FALSE
Ostrea sp.,,,,"reported as a “Chama-like form”; there are 7 true oysters [Ostreidae] in the Gulf, the most “Chama-like” being Ostrea conchaphila",FALSE
Gregariella coarctata,,Botulina opifex,,misidentified as a west Atlantic species; a fairly common boring clam in the Gulf,TRUE
Brachidontes semilaevis,,"Brachidontes multiformis, a junior synonym",,a very common small mytilid mussel in the Gulf,FALSE
Lithophaga aristata,,,,,FALSE
Chama echinata,,,,attached by the left valve to rocks; this is the “oyster-like form [Spondylus?]” from the Narrative,FALSE
Siphonaria maura,,"Siphonarea pica, a junior synonym",,the “stellate Acmaea” of the Narrative,FALSE
Coralliophila monodonta,,"Galeropsis madreporarum, a junior synonym",,,FALSE
Vermetus contortus,,,,a worm snail strongly resembling a serpulid polychaete,FALSE
Hexaplex princeps,,"Phyllonotus princeps, a junior synonym",,,FALSE
Thais planospiral,,,,known locally as “ojo de Judas”,FALSE
Ovulidae,,,,,FALSE
Simnialena inflexa,,"Simnia variabilis, a junior synonym",,Ovulidae,FALSE
Naria albuginnosa,,Cypraea albuginosa,,,FALSE
Vermicularia pellucida eburnea,,Vermicularia eburnea,,"the species was sunk into V. pellucida, which has several subspecies",FALSE
Crepidula striolata,,"Crepidula squama, a junior synonym",,,FALSE
Lottia atrata,,"Acmaea atrata, a junior synonym",,,FALSE
Lottia discors,,"Acmaea discors, a junior synonym",,,FALSE
Tectura fascicularis,,"Acmaea fascicularis, a junior synonym",,,FALSE
Diodora alta,,,,misspelled in Phyletic Catalogue as “Diadora”,FALSE
Fissurella rugosa,,,,,FALSE
Aplidium californicum,,Amaroucium californicum,,wide-ranging East Pacific compound tunicate; the tunicates of the Gulf of California have not yet been carefully studied,FALSE
